0,CombatZoneResize,250,250,350,391,TLResume,,,
0,HeartTeleport,320,376,,,,,,
0,HeartMode,1,,,,,,,
0,TLPause,,,,,,,,
0,RND,A,2,,,,,,
0,MUL,A,$A,50,,,,,
0,ADD,A,$A,275,,,,,
0.75,GasterBlaster,2,250,0,$A,0,90,0,0
0,RND,A,2,,,,,,
0,MUL,A,$A,50,,,,,
0,ADD,A,$A,275,,,,,
0.75,GasterBlaster,2,250,0,$A,0,90,0,0
0,RND,A,2,,,,,,
0,MUL,A,$A,50,,,,,
0,ADD,A,$A,275,,,,,
0.75,GasterBlaster,2,250,0,$A,0,90,0,0
0.75,GasterBlaster,2,250,0,$A,0,90,0,0
0,RND,A,2,,,,,,
0,MUL,A,$A,50,,,,,
0,ADD,A,$A,275,,,,,
0.75,GasterBlaster,2,250,0,$A,0,90,0,0
0,RND,A,2,,,,,,
0,MUL,A,$A,50,,,,,
0,ADD,A,$A,275,,,,,
0.75,GasterBlaster,2,250,0,$A,0,90,0,0
1,EndAttack,,,,,,,,
